prompt_id,genre,theme,word_limit,prompt_text
NAR_001,Narrative,academic,200,Write a 200-word narrative about a data science student who begins a difficult NLP project and slowly discovers that LLMs may have recognizable writing styles.
NAR_002,Narrative,academic,200,Write a 200-word narrative about a student who chooses the easiest project from a long list but decides to make it intellectually ambitious.
NAR_003,Narrative,academic,200,Write a 200-word narrative about a researcher who creates a dataset of prompts and realizes that each prompt reveals something about the person who wrote it.
NAR_004,Narrative,academic,200,Write a 200-word narrative about a student comparing responses from different language models late at night before a deadline.
NAR_005,Narrative,academic,200,Write a 200-word narrative about a graduate student who discovers unexpected clusters while visualizing LLM-generated text.
NAR_006,Narrative,academic,200,Write a 200-word narrative about a student who turns a simple stylometric project into a master’s-level research idea.
NAR_007,Narrative,academic,200,Write a 200-word narrative about a student searching for human-written datasets to compare against machine-generated writing.
NAR_008,Narrative,academic,200,Write a 200-word narrative about a student who builds a prompt bank and begins to see patterns in their own thinking.
NAR_009,Narrative,academic,200,"Write a 200-word narrative about a classifier that can identify which LLM wrote a text, surprising its creator."
NAR_010,Narrative,academic,200,Write a 200-word narrative about a student preparing a final presentation on whether machines have writing styles.
NAR_011,Narrative,academic,200,Write a 200-word narrative about a student struggling with a forecasting exercise and finally understanding the time-series pattern.
NAR_012,Narrative,academic,200,"Write a 200-word narrative about a souvenir shop owner watching sales rise and fall with seasons, tourists, and memories."
NAR_013,Narrative,academic,200,Write a 200-word narrative about a researcher who discovers that a missing festival variable changes the interpretation of a sales model.
NAR_014,Narrative,academic,200,Write a 200-word narrative about a student who repeatedly receives coding errors but refuses to give up on the assignment.
NAR_015,Narrative,academic,200,Write a 200-word narrative about a student who finally understands elasticity after struggling with a log-log model.
NAR_016,Narrative,academic,200,Write a 200-word narrative about a data analyst interpreting electricity demand on a hot day.
NAR_017,Narrative,academic,200,Write a 200-word narrative about a student comparing forecasted values with actual data and learning from the mismatch.
NAR_018,Narrative,academic,200,Write a 200-word narrative about a student who uses residual plots to uncover a hidden problem in a model.
NAR_019,Narrative,academic,200,Write a 200-word narrative about a student who turns confusion about Fourier terms into confidence.
NAR_020,Narrative,academic,200,Write a 200-word narrative about a student preparing a complete solution for a forecasting exercise before class.
NAR_021,Narrative,business,200,Write a 200-word narrative about a founder imagining an AI insurance shopping assistant for the Romanian market.
NAR_022,Narrative,business,200,Write a 200-word narrative about a startup founder searching for the first paying customer.
NAR_023,Narrative,business,200,Write a 200-word narrative about a founder trying to build a better version of a ticketing app.
NAR_024,Narrative,business,200,Write a 200-word narrative about an entrepreneur designing a skincare app that scans the user’s face.
NAR_025,Narrative,business,200,"Write a 200-word narrative about a founder building a digital platform while balancing legal, ethical, and business concerns."
NAR_026,Narrative,business,200,Write a 200-word narrative about a marketing analyst trying to turn technical CFD results into powerful business messaging.
NAR_027,Narrative,business,200,Write a 200-word narrative about a company team deciding whether to brand products separately or focus on industry-specific positioning.
NAR_028,Narrative,business,200,Write a 200-word narrative about a website revamp that changes how customers understand a technical product.
NAR_029,Narrative,business,200,Write a 200-word narrative about a sports engineer using simulation results to make a faster design decision.
NAR_030,Narrative,business,200,Write a 200-word narrative about a startup team preparing a business case page before launching a product.
NAR_031,Narrative,career,200,Write a 200-word narrative about an intern completing her internship and realizing how much she has learned.
NAR_032,Narrative,career,200,Write a 200-word narrative about a student who receives a part-time job offer after proving her value during an internship.
NAR_033,Narrative,career,200,Write a 200-word narrative about a young professional preparing for a technical interview in SQL and Excel.
NAR_034,Narrative,career,200,Write a 200-word narrative about a data science student preparing for interviews in Italian despite feeling nervous.
NAR_035,Narrative,career,200,Write a 200-word narrative about a job seeker trying to communicate her data science skills clearly to recruiters.
NAR_036,Narrative,career,200,Write a 200-word narrative about a teaching assistant reflecting on how teaching helped her become a better analyst.
NAR_037,Narrative,career,200,Write a 200-word narrative about a startup associate who realizes that practical business experience has shaped her career.
NAR_038,Narrative,career,200,Write a 200-word narrative about a student preparing a research fellowship application.
NAR_039,Narrative,career,200,Write a 200-word narrative about a young analyst transitioning from internship to full-time work.
