text_id,prompt_id,genre,theme,model_family,model_name,provider,clean_word_count,clean_length_status,pca_1,pca_2,pca_explained_variance_1,pca_explained_variance_2
GPT_gpt-4o-mini_NAR_001,NAR_001,Narrative,academic,GPT,gpt-4o-mini,OpenAI,217,valid,-3.6872163,9.214881,0.06157275,0.052539278
GPT_gpt-4o-mini_NAR_002,NAR_002,Narrative,academic,GPT,gpt-4o-mini,OpenAI,209,valid,-4.622137,-1.565894,0.06157275,0.052539278
GPT_gpt-4o-mini_NAR_003,NAR_003,Narrative,academic,GPT,gpt-4o-mini,OpenAI,204,valid,-6.8392496,0.80494195,0.06157275,0.052539278
GPT_gpt-4o-mini_NAR_004,NAR_004,Narrative,academic,GPT,gpt-4o-mini,OpenAI,207,valid,-8.576444,2.922747,0.06157275,0.052539278
GPT_gpt-4o-mini_NAR_005,NAR_005,Narrative,academic,GPT,gpt-4o-mini,OpenAI,208,valid,-8.874058,4.05653,0.06157275,0.052539278
GPT_gpt-4o-mini_NAR_006,NAR_006,Narrative,academic,GPT,gpt-4o-mini,OpenAI,205,valid,-6.7729497,6.105129,0.06157275,0.052539278
GPT_gpt-4o-mini_NAR_007,NAR_007,Narrative,academic,GPT,gpt-4o-mini,OpenAI,218,valid,-5.1229815,6.767199,0.06157275,0.052539278
GPT_gpt-4o-mini_NAR_008,NAR_008,Narrative,academic,GPT,gpt-4o-mini,OpenAI,205,valid,-5.560129,1.6566117,0.06157275,0.052539278
GPT_gpt-4o-mini_NAR_009,NAR_009,Narrative,academic,GPT,gpt-4o-mini,OpenAI,212,valid,-4.7222266,6.4299507,0.06157275,0.052539278
GPT_gpt-4o-mini_NAR_010,NAR_010,Narrative,academic,GPT,gpt-4o-mini,OpenAI,207,valid,-7.3299603,8.67926,0.06157275,0.052539278
GPT_gpt-4o-mini_NAR_011,NAR_011,Narrative,academic,GPT,gpt-4o-mini,OpenAI,210,valid,-6.546316,-0.6547122,0.06157275,0.052539278
GPT_gpt-4o-mini_NAR_012,NAR_012,Narrative,academic,GPT,gpt-4o-mini,OpenAI,207,valid,-7.2890487,-6.321635,0.06157275,0.052539278
GPT_gpt-4o-mini_NAR_013,NAR_013,Narrative,academic,GPT,gpt-4o-mini,OpenAI,205,valid,0.105649844,-6.169737,0.06157275,0.052539278
GPT_gpt-4o-mini_NAR_014,NAR_014,Narrative,academic,GPT,gpt-4o-mini,OpenAI,211,valid,-6.945511,0.71046823,0.06157275,0.052539278
GPT_gpt-4o-mini_NAR_015,NAR_015,Narrative,academic,GPT,gpt-4o-mini,OpenAI,210,valid,-5.967138,-3.1754653,0.06157275,0.052539278
GPT_gpt-4o-mini_NAR_016,NAR_016,Narrative,academic,GPT,gpt-4o-mini,OpenAI,208,valid,-3.9188569,-3.178833,0.06157275,0.052539278
GPT_gpt-4o-mini_NAR_017,NAR_017,Narrative,academic,GPT,gpt-4o-mini,OpenAI,209,valid,-0.24188007,-3.357158,0.06157275,0.052539278
GPT_gpt-4o-mini_NAR_018,NAR_018,Narrative,academic,GPT,gpt-4o-mini,OpenAI,206,valid,-2.5048556,-1.3174336,0.06157275,0.052539278
GPT_gpt-4o-mini_NAR_019,NAR_019,Narrative,academic,GPT,gpt-4o-mini,OpenAI,202,valid,-7.558281,0.19682667,0.06157275,0.052539278
GPT_gpt-4o-mini_NAR_020,NAR_020,Narrative,academic,GPT,gpt-4o-mini,OpenAI,207,valid,-6.1954474,-0.811115,0.06157275,0.052539278
GPT_gpt-4o-mini_NAR_021,NAR_021,Narrative,business,GPT,gpt-4o-mini,OpenAI,204,valid,3.063717,-1.9041442,0.06157275,0.052539278
GPT_gpt-4o-mini_NAR_022,NAR_022,Narrative,business,GPT,gpt-4o-mini,OpenAI,207,valid,-7.6188393,-0.89386016,0.06157275,0.052539278
GPT_gpt-4o-mini_NAR_023,NAR_023,Narrative,business,GPT,gpt-4o-mini,OpenAI,212,valid,-0.3722495,-4.1367273,0.06157275,0.052539278
GPT_gpt-4o-mini_NAR_024,NAR_024,Narrative,business,GPT,gpt-4o-mini,OpenAI,206,valid,0.587578,-2.4346395,0.06157275,0.052539278
GPT_gpt-4o-mini_NAR_025,NAR_025,Narrative,business,GPT,gpt-4o-mini,OpenAI,206,valid,-3.0320952,-1.4185297,0.06157275,0.052539278
GPT_gpt-4o-mini_NAR_026,NAR_026,Narrative,business,GPT,gpt-4o-mini,OpenAI,211,valid,-0.042082727,0.48154697,0.06157275,0.052539278
GPT_gpt-4o-mini_NAR_027,NAR_027,Narrative,business,GPT,gpt-4o-mini,OpenAI,207,valid,1.9470072,-4.156991,0.06157275,0.052539278
GPT_gpt-4o-mini_NAR_028,NAR_028,Narrative,business,GPT,gpt-4o-mini,OpenAI,207,valid,2.5397527,-0.66980827,0.06157275,0.052539278
GPT_gpt-4o-mini_NAR_029,NAR_029,Narrative,business,GPT,gpt-4o-mini,OpenAI,217,valid,-2.0268407,-1.9268869,0.06157275,0.052539278
GPT_gpt-4o-mini_NAR_030,NAR_030,Narrative,business,GPT,gpt-4o-mini,OpenAI,214,valid,-5.141803,-1.0159813,0.06157275,0.052539278
GPT_gpt-4o-mini_NAR_031,NAR_031,Narrative,career,GPT,gpt-4o-mini,OpenAI,209,valid,-6.593181,-3.0318437,0.06157275,0.052539278
GPT_gpt-4o-mini_NAR_032,NAR_032,Narrative,career,GPT,gpt-4o-mini,OpenAI,212,valid,-7.158024,-3.823407,0.06157275,0.052539278
GPT_gpt-4o-mini_NAR_033,NAR_033,Narrative,career,GPT,gpt-4o-mini,OpenAI,211,valid,-5.5511117,-0.14445668,0.06157275,0.052539278
GPT_gpt-4o-mini_NAR_034,NAR_034,Narrative,career,GPT,gpt-4o-mini,OpenAI,195,valid,2.120395,2.0184495,0.06157275,0.052539278
GPT_gpt-4o-mini_NAR_035,NAR_035,Narrative,career,GPT,gpt-4o-mini,OpenAI,211,valid,-2.3693454,0.6600978,0.06157275,0.052539278
GPT_gpt-4o-mini_NAR_036,NAR_036,Narrative,career,GPT,gpt-4o-mini,OpenAI,214,valid,-3.3557308,0.93380237,0.06157275,0.052539278
GPT_gpt-4o-mini_NAR_037,NAR_037,Narrative,career,GPT,gpt-4o-mini,OpenAI,216,valid,-4.3886046,-3.6042404,0.06157275,0.052539278
GPT_gpt-4o-mini_NAR_038,NAR_038,Narrative,career,GPT,gpt-4o-mini,OpenAI,209,valid,-7.787667,-0.14150417,0.06157275,0.052539278
GPT_gpt-4o-mini_NAR_039,NAR_039,Narrative,career,GPT,gpt-4o-mini,OpenAI,208,valid,-5.283068,-4.1762657,0.06157275,0.052539278
GPT_gpt-4o-mini_NAR_040,NAR_040,Narrative,career,GPT,gpt-4o-mini,OpenAI,209,valid,-3.1934173,1.4963827,0.06157275,0.052539278
GPT_gpt-4o-mini_NAR_041,NAR_041,Narrative,personal,GPT,gpt-4o-mini,OpenAI,206,valid,-7.646833,-4.8871202,0.06157275,0.052539278
GPT_gpt-4o-mini_NAR_042,NAR_042,Narrative,personal,GPT,gpt-4o-mini,OpenAI,214,valid,-9.289853,-5.941704,0.06157275,0.052539278
GPT_gpt-4o-mini_NAR_043,NAR_043,Narrative,personal,GPT,gpt-4o-mini,OpenAI,205,valid,-7.8958745,-1.0947437,0.06157275,0.052539278
GPT_gpt-4o-mini_NAR_044,NAR_044,Narrative,personal,GPT,gpt-4o-mini,OpenAI,203,valid,-6.355205,-5.7142687,0.06157275,0.052539278
GPT_gpt-4o-mini_NAR_045,NAR_045,Narrative,personal,GPT,gpt-4o-mini,OpenAI,209,valid,-3.8842356,-4.048469,0.06157275,0.052539278
GPT_gpt-4o-mini_NAR_046,NAR_046,Narrative,personal,GPT,gpt-4o-mini,OpenAI,207,valid,-6.258074,-3.9829574,0.06157275,0.052539278
GPT_gpt-4o-mini_NAR_047,NAR_047,Narrative,personal,GPT,gpt-4o-mini,OpenAI,214,valid,-7.0757275,-4.199183,0.06157275,0.052539278
GPT_gpt-4o-mini_NAR_048,NAR_048,Narrative,personal,GPT,gpt-4o-mini,OpenAI,205,valid,-4.135865,-4.574673,0.06157275,0.052539278
GPT_gpt-4o-mini_NAR_049,NAR_049,Narrative,personal,GPT,gpt-4o-mini,OpenAI,206,valid,-6.6001425,-4.5651197,0.06157275,0.052539278
GPT_gpt-4o-mini_NAR_050,NAR_050,Narrative,personal,GPT,gpt-4o-mini,OpenAI,208,valid,-5.525218,-0.6542237,0.06157275,0.052539278
GPT_gpt-4o-mini_DES_001,DES_001,Descriptive,academic,GPT,gpt-4o-mini,OpenAI,219,valid,-8.14699,4.8929954,0.06157275,0.052539278
GPT_gpt-4o-mini_DES_002,DES_002,Descriptive,academic,GPT,gpt-4o-mini,OpenAI,203,valid,-4.690546,4.2334247,0.06157275,0.052539278
GPT_gpt-4o-mini_DES_003,DES_003,Descriptive,academic,GPT,gpt-4o-mini,OpenAI,206,valid,-7.313927,4.3773994,0.06157275,0.052539278
GPT_gpt-4o-mini_DES_004,DES_004,Descriptive,academic,GPT,gpt-4o-mini,OpenAI,207,valid,-9.55345,2.2646878,0.06157275,0.052539278
GPT_gpt-4o-mini_DES_005,DES_005,Descriptive,academic,GPT,gpt-4o-mini,OpenAI,218,valid,1.1022825,4.972162,0.06157275,0.052539278
GPT_gpt-4o-mini_DES_006,DES_006,Descriptive,academic,GPT,gpt-4o-mini,OpenAI,204,valid,-2.424112,7.6148763,0.06157275,0.052539278
GPT_gpt-4o-mini_DES_007,DES_007,Descriptive,academic,GPT,gpt-4o-mini,OpenAI,205,valid,-2.3720572,6.8470407,0.06157275,0.052539278
GPT_gpt-4o-mini_DES_008,DES_008,Descriptive,academic,GPT,gpt-4o-mini,OpenAI,212,valid,1.0191884,6.61499,0.06157275,0.052539278
GPT_gpt-4o-mini_DES_009,DES_009,Descriptive,academic,GPT,gpt-4o-mini,OpenAI,209,valid,-5.764733,3.9313512,0.06157275,0.052539278
GPT_gpt-4o-mini_DES_010,DES_010,Descriptive,academic,GPT,gpt-4o-mini,OpenAI,206,valid,-5.6227837,3.7530787,0.06157275,0.052539278
GPT_gpt-4o-mini_DES_011,DES_011,Descriptive,academic,GPT,gpt-4o-mini,OpenAI,206,valid,-2.338576,-5.196176,0.06157275,0.052539278
GPT_gpt-4o-mini_DES_012,DES_012,Descriptive,academic,GPT,gpt-4o-mini,OpenAI,205,valid,-7.988246,-3.3299253,0.06157275,0.052539278
GPT_gpt-4o-mini_DES_013,DES_013,Descriptive,academic,GPT,gpt-4o-mini,OpenAI,202,valid,-3.012581,-3.1330616,0.06157275,0.052539278
GPT_gpt-4o-mini_DES_014,DES_014,Descriptive,academic,GPT,gpt-4o-mini,OpenAI,204,valid,3.1799562,1.4213357,0.06157275,0.052539278
GPT_gpt-4o-mini_DES_015,DES_015,Descriptive,academic,GPT,gpt-4o-mini,OpenAI,214,valid,-2.799985,-2.5538461,0.06157275,0.052539278
GPT_gpt-4o-mini_DES_016,DES_016,Descriptive,academic,GPT,gpt-4o-mini,OpenAI,214,valid,-7.5251994,2.7751079,0.06157275,0.052539278
GPT_gpt-4o-mini_DES_017,DES_017,Descriptive,academic,GPT,gpt-4o-mini,OpenAI,203,valid,-2.8259757,-0.21972953,0.06157275,0.052539278
GPT_gpt-4o-mini_DES_018,DES_018,Descriptive,academic,GPT,gpt-4o-mini,OpenAI,208,valid,-2.9420915,-3.294074,0.06157275,0.052539278
GPT_gpt-4o-mini_DES_019,DES_019,Descriptive,academic,GPT,gpt-4o-mini,OpenAI,202,valid,1.1562234,-4.0846686,0.06157275,0.052539278
GPT_gpt-4o-mini_DES_020,DES_020,Descriptive,academic,GPT,gpt-4o-mini,OpenAI,206,valid,-3.3559752,0.59139055,0.06157275,0.052539278
GPT_gpt-4o-mini_DES_021,DES_021,Descriptive,business,GPT,gpt-4o-mini,OpenAI,202,valid,5.9636045,-0.67872864,0.06157275,0.052539278
GPT_gpt-4o-mini_DES_022,DES_022,Descriptive,business,GPT,gpt-4o-mini,OpenAI,209,valid,-2.5249038,-3.3278317,0.06157275,0.052539278
GPT_gpt-4o-mini_DES_023,DES_023,Descriptive,business,GPT,gpt-4o-mini,OpenAI,203,valid,3.6350377,-4.658765,0.06157275,0.052539278
GPT_gpt-4o-mini_DES_024,DES_024,Descriptive,business,GPT,gpt-4o-mini,OpenAI,207,valid,2.0967424,-2.7049613,0.06157275,0.052539278
GPT_gpt-4o-mini_DES_025,DES_025,Descriptive,business,GPT,gpt-4o-mini,OpenAI,209,valid,-0.76566017,-3.449266,0.06157275,0.052539278
GPT_gpt-4o-mini_DES_026,DES_026,Descriptive,business,GPT,gpt-4o-mini,OpenAI,212,valid,-2.8096325,-0.58878726,0.06157275,0.052539278
GPT_gpt-4o-mini_DES_027,DES_027,Descriptive,business,GPT,gpt-4o-mini,OpenAI,206,valid,6.9628487,4.3777165,0.06157275,0.052539278
GPT_gpt-4o-mini_DES_028,DES_028,Descriptive,business,GPT,gpt-4o-mini,OpenAI,200,valid,-1.5080819,-1.0597585,0.06157275,0.052539278
GPT_gpt-4o-mini_DES_029,DES_029,Descriptive,business,GPT,gpt-4o-mini,OpenAI,204,valid,-0.07777459,-1.4283,0.06157275,0.052539278
GPT_gpt-4o-mini_DES_030,DES_030,Descriptive,business,GPT,gpt-4o-mini,OpenAI,207,valid,2.61519,-0.714938,0.06157275,0.052539278
GPT_gpt-4o-mini_DES_031,DES_031,Descriptive,career,GPT,gpt-4o-mini,OpenAI,207,valid,-7.8561234,0.9753149,0.06157275,0.052539278
GPT_gpt-4o-mini_DES_032,DES_032,Descriptive,career,GPT,gpt-4o-mini,OpenAI,215,valid,-0.83253926,-1.7752845,0.06157275,0.052539278
GPT_gpt-4o-mini_DES_033,DES_033,Descriptive,career,GPT,gpt-4o-mini,OpenAI,204,valid,-2.1636262,2.7636597,0.06157275,0.052539278
GPT_gpt-4o-mini_DES_034,DES_034,Descriptive,career,GPT,gpt-4o-mini,OpenAI,189,valid,-0.7711929,-3.9124212,0.06157275,0.052539278
GPT_gpt-4o-mini_DES_035,DES_035,Descriptive,career,GPT,gpt-4o-mini,OpenAI,200,valid,3.7803159,1.6937789,0.06157275,0.052539278
GPT_gpt-4o-mini_DES_036,DES_036,Descriptive,career,GPT,gpt-4o-mini,OpenAI,205,valid,-4.269392,0.16639091,0.06157275,0.052539278
GPT_gpt-4o-mini_DES_037,DES_037,Descriptive,career,GPT,gpt-4o-mini,OpenAI,203,valid,6.2596393,2.285109,0.06157275,0.052539278
GPT_gpt-4o-mini_DES_038,DES_038,Descriptive,career,GPT,gpt-4o-mini,OpenAI,211,valid,-7.874007,1.9572937,0.06157275,0.052539278
GPT_gpt-4o-mini_DES_039,DES_039,Descriptive,career,GPT,gpt-4o-mini,OpenAI,209,valid,-8.239767,-4.629442,0.06157275,0.052539278
GPT_gpt-4o-mini_DES_040,DES_040,Descriptive,career,GPT,gpt-4o-mini,OpenAI,204,valid,0.0392782,-0.3060064,0.06157275,0.052539278
GPT_gpt-4o-mini_DES_041,DES_041,Descriptive,personal,GPT,gpt-4o-mini,OpenAI,205,valid,-10.989006,-2.9474537,0.06157275,0.052539278
GPT_gpt-4o-mini_DES_042,DES_042,Descriptive,personal,GPT,gpt-4o-mini,OpenAI,206,valid,-9.968227,-5.5567937,0.06157275,0.052539278
GPT_gpt-4o-mini_DES_043,DES_043,Descriptive,personal,GPT,gpt-4o-mini,OpenAI,209,valid,-10.687592,-0.2645795,0.06157275,0.052539278
GPT_gpt-4o-mini_DES_044,DES_044,Descriptive,personal,GPT,gpt-4o-mini,OpenAI,204,valid,-7.0594325,0.1489298,0.06157275,0.052539278
GPT_gpt-4o-mini_DES_045,DES_045,Descriptive,personal,GPT,gpt-4o-mini,OpenAI,200,valid,-5.292916,0.18540119,0.06157275,0.052539278
GPT_gpt-4o-mini_DES_046,DES_046,Descriptive,personal,GPT,gpt-4o-mini,OpenAI,206,valid,-3.1735606,-3.50118,0.06157275,0.052539278
GPT_gpt-4o-mini_DES_047,DES_047,Descriptive,personal,GPT,gpt-4o-mini,OpenAI,200,valid,-5.5753446,-3.603935,0.06157275,0.052539278
GPT_gpt-4o-mini_DES_048,DES_048,Descriptive,personal,GPT,gpt-4o-mini,OpenAI,198,valid,1.6792332,-1.7847052,0.06157275,0.052539278
GPT_gpt-4o-mini_DES_049,DES_049,Descriptive,personal,GPT,gpt-4o-mini,OpenAI,205,valid,-9.224606,2.1948388,0.06157275,0.052539278
GPT_gpt-4o-mini_DES_050,DES_050,Descriptive,personal,GPT,gpt-4o-mini,OpenAI,206,valid,-8.217946,-5.6862426,0.06157275,0.052539278
GPT_gpt-4o-mini_ARG_001,ARG_001,Argumentative,academic,GPT,gpt-4o-mini,OpenAI,218,valid,1.7642562,11.77376,0.06157275,0.052539278
GPT_gpt-4o-mini_ARG_002,ARG_002,Argumentative,academic,GPT,gpt-4o-mini,OpenAI,213,valid,1.381929,13.155829,0.06157275,0.052539278
GPT_gpt-4o-mini_ARG_003,ARG_003,Argumentative,academic,GPT,gpt-4o-mini,OpenAI,208,valid,0.524972,9.816133,0.06157275,0.052539278
GPT_gpt-4o-mini_ARG_004,ARG_004,Argumentative,academic,GPT,gpt-4o-mini,OpenAI,202,valid,3.1160612,11.128615,0.06157275,0.052539278
GPT_gpt-4o-mini_ARG_005,ARG_005,Argumentative,academic,GPT,gpt-4o-mini,OpenAI,208,valid,0.8410175,12.144286,0.06157275,0.052539278
GPT_gpt-4o-mini_ARG_006,ARG_006,Argumentative,academic,GPT,gpt-4o-mini,OpenAI,207,valid,1.7564186,10.073921,0.06157275,0.052539278
GPT_gpt-4o-mini_ARG_007,ARG_007,Argumentative,academic,GPT,gpt-4o-mini,OpenAI,204,valid,6.85654,8.046574,0.06157275,0.052539278
GPT_gpt-4o-mini_ARG_008,ARG_008,Argumentative,academic,GPT,gpt-4o-mini,OpenAI,204,valid,1.2099949,9.585341,0.06157275,0.052539278
GPT_gpt-4o-mini_ARG_009,ARG_009,Argumentative,academic,GPT,gpt-4o-mini,OpenAI,206,valid,2.6779335,9.95947,0.06157275,0.052539278
GPT_gpt-4o-mini_ARG_010,ARG_010,Argumentative,academic,GPT,gpt-4o-mini,OpenAI,218,valid,-1.009597,9.378442,0.06157275,0.052539278
GPT_gpt-4o-mini_ARG_011,ARG_011,Argumentative,academic,GPT,gpt-4o-mini,OpenAI,205,valid,7.684534,0.84253114,0.06157275,0.052539278
GPT_gpt-4o-mini_ARG_012,ARG_012,Argumentative,academic,GPT,gpt-4o-mini,OpenAI,201,valid,7.059377,-2.558151,0.06157275,0.052539278
GPT_gpt-4o-mini_ARG_013,ARG_013,Argumentative,academic,GPT,gpt-4o-mini,OpenAI,220,valid,4.9298778,-3.4992027,0.06157275,0.052539278
GPT_gpt-4o-mini_ARG_014,ARG_014,Argumentative,academic,GPT,gpt-4o-mini,OpenAI,206,valid,6.6021423,2.133294,0.06157275,0.052539278
GPT_gpt-4o-mini_ARG_015,ARG_015,Argumentative,academic,GPT,gpt-4o-mini,OpenAI,212,valid,5.038249,2.3836544,0.06157275,0.052539278
GPT_gpt-4o-mini_ARG_016,ARG_016,Argumentative,academic,GPT,gpt-4o-mini,OpenAI,208,valid,7.715879,-1.6435905,0.06157275,0.052539278
GPT_gpt-4o-mini_ARG_017,ARG_017,Argumentative,academic,GPT,gpt-4o-mini,OpenAI,214,valid,6.961821,-0.5580626,0.06157275,0.052539278
GPT_gpt-4o-mini_ARG_018,ARG_018,Argumentative,academic,GPT,gpt-4o-mini,OpenAI,215,valid,5.2876782,4.4898806,0.06157275,0.052539278
GPT_gpt-4o-mini_ARG_019,ARG_019,Argumentative,academic,GPT,gpt-4o-mini,OpenAI,220,valid,8.028316,-1.6616971,0.06157275,0.052539278
GPT_gpt-4o-mini_ARG_020,ARG_020,Argumentative,academic,GPT,gpt-4o-mini,OpenAI,209,valid,6.7018495,1.2943474,0.06157275,0.052539278
GPT_gpt-4o-mini_ARG_021,ARG_021,Argumentative,business,GPT,gpt-4o-mini,OpenAI,207,valid,10.413826,-0.30635977,0.06157275,0.052539278
GPT_gpt-4o-mini_ARG_022,ARG_022,Argumentative,business,GPT,gpt-4o-mini,OpenAI,206,valid,10.732054,-1.6994259,0.06157275,0.052539278
GPT_gpt-4o-mini_ARG_023,ARG_023,Argumentative,business,GPT,gpt-4o-mini,OpenAI,203,valid,7.8950267,-5.4802322,0.06157275,0.052539278
GPT_gpt-4o-mini_ARG_024,ARG_024,Argumentative,business,GPT,gpt-4o-mini,OpenAI,212,valid,5.858541,-1.6106331,0.06157275,0.052539278
GPT_gpt-4o-mini_ARG_025,ARG_025,Argumentative,business,GPT,gpt-4o-mini,OpenAI,213,valid,6.93215,-0.51423013,0.06157275,0.052539278
GPT_gpt-4o-mini_ARG_026,ARG_026,Argumentative,business,GPT,gpt-4o-mini,OpenAI,208,valid,8.055926,-4.954061,0.06157275,0.052539278
GPT_gpt-4o-mini_ARG_027,ARG_027,Argumentative,business,GPT,gpt-4o-mini,OpenAI,213,valid,7.5112696,-4.692112,0.06157275,0.052539278
